region,year,poverty_percent
        Липецкая область,2012,8.4
        Липецкая область,2013,7.9
        Липецкая область,2014,8.3
        Липецкая область,2015,9.3
        Липецкая область,2016,9.2
        Липецкая область,2017,8.8
        Липецкая область,2018,8.7
        Липецкая область,2019,8.6
        Липецкая область,2020,8.4
        Московская область,1995,31.7
        Московская область,1996,24.0
        Московская область,1997,20.3
        Московская область,1998,22.3
        Московская область,1999,27.7
        Московская область,2000,35.2
        Московская область,2001,30.9
        Московская область,2002,27.4
        Московская область,2003,26.1
        Московская область,2004,21.8
        Московская область,2005,18.4
        Московская область,2006,13.0
        Московская область,2007,11.0
        Московская область,2008,9.3
        Московская область,2009,10.6
        Московская область,2010,10.1
        Московская область,2011,9.6
        Московская область,2012,6.9
        Московская область,2013,7.5
        Московская область,2014,7.6
        Московская область,2015,8.3
        Московская область,2016,7.8
        Московская область,2017,7.9
        Московская область,2018,7.3
        Московская область,2019,7.3
        Московская область,2020,6.8
        Орловская область,1995,22.7
        Орловская область,1996,20.1
        Орловская область,1997,21.4
        Орловская область,1998,25.1
        Орловская область,1999,34.6
        Орловская область,2000,41.6
        Орловская область,2001,35.1
        Орловская область,2002,30.6
        Орловская область,2003,28.0
        Орловская область,2004,24.3
        Орловская область,2005,23.5
        Орловская область,2006,20.8
        Орловская область,2007,19.4
        Орловская область,2008,16.3
        Орловская область,2009,17.5
        Орловская область,2010,14.7
        Орловская область,2011,14.5
        Орловская область,2012,11.3
        Орловская область,2013,13.3
        Орловская область,2014,13.5
        Орловская область,2015,14.5
        Орловская область,2016,14.2
        Орловская область,2017,13.9
        Орловская область,2018,13.5
        Орловская область,2019,13.6
        Орловская область,2020,12.9
        Рязанская область,1995,24.4
        Рязанская область,1996,23.4
        Рязанская область,1997,21.2
        Рязанская область,1998,28.4
        Рязанская область,1999,46.9
        Рязанская область,2000,49.3
        Рязанская область,2001,38.3
        Рязанская область,2002,31.3
        Рязанская область,2003,27.7
        Рязанская область,2004,27.9
        Рязанская область,2005,22.7
        Рязанская область,2006,20.5
        Рязанская область,2007,17.3
        Рязанская область,2008,14.6
        Рязанская область,2009,15.9
        Рязанская область,2010,15.0
        Рязанская область,2011,16.0
        Рязанская область,2012,12.5
        Рязанская область,2013,12.3
        Рязанская область,2014,11.0
        Рязанская область,2015,13.0
        Рязанская область,2016,12.8
        Рязанская область,2017,13.3
        Рязанская область,2018,13.0
        Рязанская область,2019,12.7
        Рязанская область,2020,12.8
        Смоленская область,1995,19.5
        Смоленская область,1996,20.3
        Смоленская область,1997,18.0
        Смоленская область,1998,22.9
        Смоленская область,1999,32.0
        Смоленская область,2000,29.8
        Смоленская область,2001,27.0
        Смоленская область,2002,25.2
        Смоленская область,2003,23.4
        Смоленская область,2004,21.2
        Смоленская область,2005,18.1
        Смоленская область,2006,19.7
        Смоленская область,2007,18.0
        Смоленская область,2008,14.9
        Смоленская область,2009,15.4
        Смоленская область,2010,15.2
        Смоленская область,2011,17.3
        Смоленская область,2012,14.8
        Смоленская область,2013,15.7
        Смоленская область,2014,15.7
        Смоленская область,2015,17.6
        Смоленская область,2016,17.8
        Смоленская область,2017,16.9
        Смоленская область,2018,16.4
        Смоленская область,2019,16.3
        Смоленская область,2020,15.6
        Тамбовская область,1995,21.7
        Тамбовская область,1996,22.6
        Тамбовская область,1997,20.7
        Тамбовская область,1998,24.4
        Тамбовская область,1999,30.7
        Тамбовская область,2000,45.9
        Тамбовская область,2001,36.5
        Тамбовская область,2002,27.2
        Тамбовская область,2003,22.9
        Тамбовская область,2004,21.3
        Тамбовская область,2005,16.9
        Тамбовская область,2006,15.0
        Тамбовская область,2007,13.7
        Тамбовская область,2008,11.3
        Тамбовская область,2009,11.9
        Тамбовская область,2010,10.8
        Тамбовская область,2011,10.7
        Тамбовская область,2012,9.4
        Тамбовская область,2013,8.2
        Тамбовская область,2014,9.6
        Тамбовская область,2015,10.7
        Тамбовская область,2016,10.6
        Тамбовская область,2017,10.4
        Тамбовская область,2018,9.8
        Тамбовская область,2019,10.7
        Тамбовская область,2020,10.8
        Тверская область,1995,28.0
        Тверская область,1996,23.4
        Тверская область,1997,22.1
        Тверская область,1998,27.8
        Тверская область,1999,51.7
        Тверская область,2000,51.5
        Тверская область,2001,46.9
        Тверская область,2002,38.7
        Тверская область,2003,33.7
        Тверская область,2004,26.2
        Тверская область,2005,18.6
        Тверская область,2006,13.9
        Тверская область,2007,14.8
        Тверская область,2008,13.9
        Тверская область,2009,14.1
        Тверская область,2010,13.2
        Тверская область,2011,13.5
        Тверская область,2012,11.4
        Тверская область,2013,11.6
        Тверская область,2014,11.6
        Тверская область,2015,13.0
        Тверская область,2016,12.8
        Тверская область,2017,12.4
        Тверская область,2018,12.2
        Тверская область,2019,11.7
        Тверская область,2020,11.4
        Тульская область,1995,16.2
        Тульская область,1996,16.8
        Тульская область,1997,15.8
        Тульская область,1998,22.0
        Тульская область,1999,34.2
        Тульская область,2000,32.2
        Тульская область,2001,25.9
        Тульская область,2002,21.8
        Тульская область,2003,20.5
        Тульская область,2004,20.1
        Тульская область,2005,17.4
        Тульская область,2006,14.8
        Тульская область,2007,14.5
        Тульская область,2008,13.1
        Тульская область,2009,12.5
        Тульская область,2010,11.0
        Тульская область,2011,10.9
        Тульская область,2012,9.5
        Тульская область,2013,9.7
        Тульская область,2014,9.8
        Тульская область,2015,10.6
        Тульская область,2016,10.0
        Тульская область,2017,9.9
        Тульская область,2018,10.0
        Тульская область,2019,10.3
        Тульская область,2020,10.1
        Ярославская область,1995,21.3
        Ярославская область,1996,20.4
        Ярославская область,1997,18.5
        Ярославская область,1998,22.5
        Ярославская область,1999,27.0
        Ярославская область,2000,30.7
        Ярославская область,2001,26.8
        Ярославская область,2002,21.4
        Ярославская область,2003,19.2
        Ярославская область,2004,16.5
        Ярославская область,2005,17.2
        Ярославская область,2006,13.4
        Ярославская область,2007,14.8
        Ярославская область,2008,14.1
        Ярославская область,2009,15.6
        Ярославская область,2010,12.8
        Ярославская область,2011,13.4
        Ярославская область,2012,10.9
        Ярославская область,2013,10.8
        Ярославская область,2014,10.3
        Ярославская область,2015,10.8
        Ярославская область,2016,11.0
        Ярославская область,2017,10.7
        Ярославская область,2018,10.2
        Ярославская область,2019,10.3
        Ярославская область,2020,9.9
        Город Москва столица Российской Федерации город федерального значения,1995,19.2
        Город Москва столица Российской Федерации город федерального значения,1996,18.0
        Город Москва столица Российской Федерации город федерального значения,1997,16.5
        Город Москва столица Российской Федерации город федерального значения,1998,16.4
        Город Москва столица Российской Федерации город федерального значения,1999,22.4
        Город Москва столица Российской Федерации город федерального значения,2000,23.6
        Город Москва столица Российской Федерации город федерального значения,2001,21.8
        Город Москва столица Российской Федерации город федерального значения,2002,20.7
        Город Москва столица Российской Федерации город федерального значения,2003,18.6
        Город Москва столица Российской Федерации город федерального значения,2004,14.7
        Город Москва столица Российской Федерации город федерального значения,2005,13.3
        Город Москва столица Российской Федерации город федерального значения,2006,13.5
        Город Москва столица Российской Федерации город федерального значения,2007,11.9
        Город Москва столица Российской Федерации город федерального значения,2008,12.5
        Город Москва столица Российской Федерации город федерального значения,2009,10.3
        Город Москва столица Российской Федерации город федерального значения,2010,10.0
        Город Москва столица Российской Федерации город федерального значения,2011,10.0
        Город Москва столица Российской Федерации город федерального значения,2012,9.6
        Город Москва столица Российской Федерации город федерального значения,2013,8.7
        Город Москва столица Российской Федерации город федерального значения,2014,8.8
        Город Москва столица Российской Федерации город федерального значения,2015,8.9
        Город Москва столица Российской Федерации город федерального значения,2016,8.5
        Город Москва столица Российской Федерации город федерального значения,2017,7.5
        Город Москва столица Российской Федерации город федерального значения,2018,6.6
        Город Москва столица Российской Федерации город федерального значения,2019,6.4
        Город Москва столица Российской Федерации город федерального значения,2020,6.0
    Северо-Западный федеральный округ,2003,0.0
    Северо-Западный федеральный округ,2004,0.0
    Северо-Западный федеральный округ,2005,0.0
    Северо-Западный федеральный округ,2006,0.0
    Северо-Западный федеральный округ,2007,0.0
    Северо-Западный федеральный округ,2008,0.0
    Северо-Западный федеральный округ,2009,0.0
    Северо-Западный федеральный округ,2010,0.0
    Северо-Западный федеральный округ,2011,0.0
    Северо-Западный федеральный округ,2012,0.0
    Северо-Западный федеральный округ,2013,0.0
    Северо-Западный федеральный округ,2014,0.0
    Северо-Западный федеральный округ,2015,0.0
    Северо-Западный федеральный округ,2016,0.0
    Северо-Западный федеральный округ,2017,0.0
    Северо-Западный федеральный округ,2018,0.0
        Республика Карелия,1995,23.0
        Республика Карелия,1996,20.5
        Республика Карелия,1997,19.0
        Республика Карелия,1998,22.9
        Республика Карелия,1999,25.4
        Республика Карелия,2000,22.3
        Республика Карелия,2001,23.0
        Республика Карелия,2002,18.8
        Республика Карелия,2003,18.9
        Республика Карелия,2004,18.1
        Республика Карелия,2005,15.9
        Республика Карелия,2006,14.6
        Республика Карелия,2007,16.0
        Республика Карелия,2008,15.6
        Республика Карелия,2009,15.8
        Республика Карелия,2010,14.9
        Республика Карелия,2011,15.7
        Республика Карелия,2012,13.6
        Республика Карелия,2013,13.4
        Республика Карелия,2014,14.1
        Республика Карелия,2015,16.2
        Республика Карелия,2016,16.7
        Республика Карелия,2017,16.5
        Республика Карелия,2018,15.6
        Республика Карелия,2019,15.7
        Республика Карелия,2020,15.1
        Республика Коми,1995,18.4
        Республика Коми,1996,19.3
        Республика Коми,1997,14.8
        Республика Коми,1998,16.1
        Республика Коми,1999,20.9
        Республика Коми,2000,26.3
        Республика Коми,2001,21.0
        Республика Коми,2002,19.4
        Республика Коми,2003,18.4
        Республика Коми,2004,16.7
        Республика Коми,2005,14.9
        Республика Коми,2006,14.6
        Республика Коми,2007,13.8
        Республика Коми,2008,15.1
        Республика Коми,2009,16.5
        Республика Коми,2010,15.6
        Республика Коми,2011,16.3
        Республика Коми,2012,13.4
        Республика Коми,2013,14.0
        Республика Коми,2014,14.9
        Республика Коми,2015,15.6
        Республика Коми,2016,16.1
        Республика Коми,2017,15.7
        Республика Коми,2018,14.9
        Республика Коми,2019,15.5
        Республика Коми,2020,15.3
        Архангельская область,1995,26.2
        Архангельская область,1996,26.8
        Архангельская область,1997,23.9
        Архангельская область,1998,31.6
        Архангельская область,1999,42.6
        Архангельская область,2000,33.5
        Архангельская область,2001,27.4
        Архангельская область,2002,26.5
        Архангельская область,2003,23.5
        Архангельская область,2004,19.6
        Архангельская область,2005,17.5
        Архангельская область,2006,17.2
        Архангельская область,2007,15.9
        Архангельская область,2008,14.4
        Архангельская область,2009,13.6
        Архангельская область,2010,14.0
        Архангельская область,2011,14.4
        Архангельская область,2012,13.2
        Архангельская область,2013,14.6
        Архангельская область,2014,14.8
        Архангельская область,2015,16.5
        Архангельская область,2016,15.2
        Архангельская область,2017,14.3
        Архангельская область,2018,13.5
        Архангельская область,2019,13.6
        Архангельская область,2020,12.8
            Ненецкий автономный округ (Архангельская область),1995,0.0
            Ненецкий автономный округ (Архангельская область),1996,0.0
            Ненецкий автономный округ (Архангельская область),1997,0.0
            Ненецкий автономный округ (Архангельская область),1998,0.0
            Ненецкий автономный округ (Архангельская область),1999,0.0
            Ненецкий автономный округ (Архангельская область),2000,37.9
            Ненецкий автономный округ (Архангельская область),2001,26.9
            Ненецкий автономный округ (Архангельская область),2002,21.5
            Ненецкий автономный округ (Архангельская область),2003,8.3
            Ненецкий автономный округ (Архангельская область),2004,8.2
            Ненецкий автономный округ (Архангельская область),2005,9.0
            Ненецкий автономный округ (Архангельская область),2006,8.0
            Ненецкий автономный округ (Архангельская область),2007,5.7
            Ненецкий автономный округ (Архангельская область),2008,5.6
            Ненецкий автономный округ (Архангельская область),2009,7.3
            Ненецкий автономный округ (Архангельская область),2010,7.5
            Ненецкий автономный округ (Архангельская область),2011,7.7
            Ненецкий автономный округ (Архангельская область),2012,6.5
            Ненецкий автономный округ (Архангельская область),2013,7.8
            Ненецкий автономный округ (Архангельская область),2014,8.9
            Ненецкий автономный округ (Архангельская область),2015,9.4
            Ненецкий автономный округ (Архангельская область),2016,10.1
            Ненецкий автономный округ (Архангельская область),2017,10.6
            Ненецкий автономный округ (Архангельская область),2018,9.7
            Ненецкий автономный округ (Архангельская область),2019,9.4
            Ненецкий автономный округ (Архангельская область),2020,9.4
            Архангельская область (кроме Ненецкого автономного округа),2012,13.0
            Архангельская область (кроме Ненецкого автономного округа),2013,14.5
            Архангельская область (кроме Ненецкого автономного округа),2014,14.5
            Архангельская область (кроме Ненецкого автономного округа),2015,16.2
            Архангельская область (кроме Ненецкого автономного округа),2016,14.9
            Архангельская область (кроме Ненецкого автономного округа),2017,13.9
            Архангельская область (кроме Ненецкого автономного округа),2018,12.5
            Архангельская область (кроме Ненецкого автономного округа),2019,12.7
            Архангельская область (кроме Ненецкого автономного округа),2020,12.3
        Вологодская область,1995,19.9
        Вологодская область,1996,21.1
        Вологодская область,1997,18.6
        Вологодская область,1998,22.7
        Вологодская область,1999,33.5
        Вологодская область,2000,25.5
        Вологодская область,2001,23.1
        Вологодская область,2002,22.8
        Вологодская область,2003,20.0
        Вологодская область,2004,17.9
        Вологодская область,2005,18.3
        Вологодская область,2006,16.5
        Вологодская область,2007,14.8
        Вологодская область,2008,15.7
        Вологодская область,2009,18.2
        Вологодская область,2010,16.8
        Вологодская область,2011,17.1
        Вологодская область,2012,13.2
        Вологодская область,2013,14.0
        Вологодская область,2014,13.5
        Вологодская область,2015,14.5
        Вологодская область,2016,13.8
        Вологодская область,2017,13.9
        Вологодская область,2018,13.5
        Вологодская область,2019,12.9
        Вологодская область,2020,12.8
        Калининградская область,1995,27.2
        Калининградская область,1996,25.6
        Калининградская область,1997,25.0
        Калининградская область,1998,25.5
        Калининградская область,1999,30.2
        Калининградская область,2000,37.7
        Калининградская область,2001,39.1
        Калининградская область,2002,39.6
        Калининградская область,2003,28.0
        Калининградская область,2004,25.4
        Калининградская область,2005,19.9
        Калининградская область,2006,14.2
        Калининградская область,2007,12.4
        Калининградская область,2008,13.6
        Калининградская область,2009,13.1
        Калининградская область,2010,12.4
        Калининградская область,2011,12.7
        Калининградская область,2012,10.8
        Калининградская область,2013,12.7
        Калининградская область,2014,12.4
        Калининградская область,2015,13.6
        Калининградская область,2016,14.1
        Калининградская область,2017,13.8
        Калининградская область,2018,13.6
        Калининградская область,2019,13.5
        Калининградская область,2020,13.5
        Ленинградская область,1995,29.5
        Ленинградская область,1996,24.1
        Ленинградская область,1997,24.7
        Ленинградская область,1998,35.5
        Ленинградская область,1999,53.1
        Ленинградская область,2000,50.9
        Ленинградская область,2001,48.1
        Ленинградская область,2002,42.1
        Ленинградская область,2003,37.0
        Ленинградская область,2004,24.8
        Ленинградская область,2005,21.1
        Ленинградская область,2006,14.9
        Ленинградская область,2007,13.2
        Ленинградская область,2008,13.5
        Ленинградская область,2009,14.1
        Ленинградская область,2010,12.6
        Ленинградская область,2011,13.0
        Ленинградская область,2012,11.9
        Ленинградская область,2013,10.7
        Ленинградская область,2014,9.8
        Ленинградская область,2015,10.3
        Ленинградская область,2016,9.7
        Ленинградская область,2017,9.0
        Ленинградская область,2018,8.4
        Ленинградская область,2019,8.8
        Ленинградская область,2020,8.7
        Мурманская область,1995,22.0
        Мурманская область,1996,18.1
        Мурманская область,1997,16.4
        Мурманская область,1998,17.9
        Мурманская область,1999,21.3
        Мурманская область,2000,24.9
        Мурманская область,2001,22.3
        Мурманская область,2002,22.6
        Мурманская область,2003,21.1
        Мурманская область,2004,19.4
        Мурманская область,2005,19.1
        Мурманская область,2006,17.4
        Мурманская область,2007,14.6
        Мурманская область,2008,13.8
        Мурманская область,2009,13.5
        Мурманская область,2010,13.2
        Мурманская область,2011,13.6
        Мурманская область,2012,11.1
        Мурманская область,2013,11.0
        Мурманская область,2014,11.0
        Мурманская область,2015,12.7
        Мурманская область,2016,12.0
        Мурманская область,2017,11.3
        Мурманская область,2018,9.9
        Мурманская область,2019,10.6
        Мурманская область,2020,10.1
        Новгородская область,1995,22.8
        Новгородская область,1996,17.2
        Новгородская область,1997,17.6
        Новгородская область,1998,17.7
        Новгородская область,1999,32.7
        Новгородская область,2000,34.2
        Новгородская область,2001,31.4
        Новгородская область,2002,30.8
        Новгородская область,2003,27.7
        Новгородская область,2004,26.7
        Новгородская область,2005,23.8
        Новгородская область,2006,19.9
        Новгородская область,2007,20.3
        Новгородская область,2008,17.8
        Новгородская область,2009,16.5
        Новгородская область,2010,14.9
        Новгородская область,2011,15.0
        Новгородская область,2012,11.7
        Новгородская область,2013,12.6
        Новгородская область,2014,12.6
        Новгородская область,2015,13.9
        Новгородская область,2016,14.8
        Новгородская область,2017,13.9
        Новгородская область,2018,13.6
        Новгородская область,2019,13.8
        Новгородская область,2020,13.6
        Псковская область,1995,42.7
        Псковская область,1996,32.4
        Псковская область,1997,27.4
        Псковская область,1998,34.1
        Псковская область,1999,47.0
        Псковская область,2000,44.8
        Псковская область,2001,37.5
        Псковская область,2002,27.5
        Псковская область,2003,20.9
        Псковская область,2004,18.2
        Псковская область,2005,19.2
        Псковская область,2006,18.3
        Псковская область,2007,16.9
        Псковская область,2008,15.9
        Псковская область,2009,16.2
        Псковская область,2010,15.6
        Псковская область,2011,16.7
        Псковская область,2012,15.4
        Псковская область,2013,15.9
        Псковская область,2014,15.8
        Псковская область,2015,19.0
        Псковская область,2016,19.0
        Псковская область,2017,17.7
        Псковская область,2018,17.0
        Псковская область,2019,16.2
        Псковская область,2020,16.2
        Город Санкт-Петербург город федерального значения,1995,20.1
        Город Санкт-Петербург город федерального значения,1996,22.6
        Город Санкт-Петербург город федерального значения,1997,23.2
        Город Санкт-Петербург город федерального значения,1998,24.7
        Город Санкт-Петербург город федерального значения,1999,33.1
        Город Санкт-Петербург город федерального значения,2000,27.3
        Город Санкт-Петербург город федерального значения,2001,23.8
        Город Санкт-Петербург город федерального значения,2002,21.2
        Город Санкт-Петербург город федерального значения,2003,15.7
        Город Санкт-Петербург город федерального значения,2004,13.0
        Город Санкт-Петербург город федерального значения,2005,10.3
        Город Санкт-Петербург город федерального значения,2006,10.1
        Город Санкт-Петербург город федерального значения,2007,9.6
        Город Санкт-Петербург город федерального значения,2008,11.5
        Город Санкт-Петербург город федерального значения,2009,9.4
        Город Санкт-Петербург город федерального значения,2010,8.6
        Город Санкт-Петербург город федерального значения,2011,9.1
        Город Санкт-Петербург город федерального значения,2012,9.0
        Город Санкт-Петербург город федерального значения,2013,8.2
        Город Санкт-Петербург город федерального значения,2014,8.7
        Город Санкт-Петербург город федерального значения,2015,8.5
        Город Санкт-Петербург город федерального значения,2016,8.3
        Город Санкт-Петербург город федерального значения,2017,7.3
        Город Санкт-Петербург город федерального значения,2018,6.5
        Город Санкт-Петербург город федерального значения,2019,6.4
        Город Санкт-Петербург город федерального значения,2020,5.9
    Южный федеральный округ (с 2010 года),2003,0.0
    Южный федеральный округ (с 2010 года),2004,0.0
    Южный федеральный округ (с 2010 года),2005,0.0
    Южный федеральный округ (с 2010 года),2006,0.0
    Южный федеральный округ (с 2010 года),2007,0.0
    Южный федеральный округ (с 2010 года),2008,0.0
    Южный федеральный округ (с 2010 года),2009,0.0
    Южный федеральный округ (с 2010 года),2010,0.0
    Южный федеральный округ (с 2010 года),2011,0.0
    Южный федеральный округ (с 2010 года),2012,0.0
    Южный федеральный округ (с 2010 года),2013,0.0
    Южный федеральный округ (с 2010 года),2014,0.0
    Южный федеральный округ (с 2010 года),2015,0.0
    Южный федеральный округ (с 29.07.2016),2015,0.0
    Южный федеральный округ (с 29.07.2016),2016,0.0
    Южный федеральный округ (с 29.07.2016),2017,0.0
    Южный федеральный округ (с 29.07.2016),2018,0.0
        Республика Адыгея (Адыгея),1995,46.5
        Республика Адыгея (Адыгея),1996,37.7
        Республика Адыгея (Адыгея),1997,34.5
        Республика Адыгея (Адыгея),1998,38.3
        Республика Адыгея (Адыгея),1999,43.0
