region,production_field,2017,2018,2019,2020
Российская Федерация,"        Производство изделий из бетона, цемента и гипса",538471683.76,579479371.15,650428659.43,681823429.0
Российская Федерация,"            Резка, обработка и отделка камня",29072094.79,32335327.96,34286788.1,27724505.69
Российская Федерация,"        Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",236926427.08,307322767.6,349847650.4,347056539.25
Российская Федерация,    Производство металлургическое,5165507765.06,6099608867.65,7087416259.5,7817660354.33
Российская Федерация,"            Производство чугуна, стали и ферросплавов",2304628251.56,2836898537.06,2702110676.3,2718397393.51
Российская Федерация,"            Производство стальных труб, полых профилей и фитингов",617172192.1,704871184.6,719598572.8,604888239.5
Российская Федерация,        Производство прочих стальных изделий первичной обработкой,194576651.5,226893221.19,239921201.4,246810132.6
Российская Федерация,"        Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",1975027810.9,2246405045.4,3339205700.0,4167363911.85
Российская Федерация,        Литье металлов,74102859.0,84540879.4,86580109.0,80200676.87
Российская Федерация,"    Производство готовых металлических изделий, кроме машин и оборудования",2296135056.68,2449546535.7,2713220582.94,2820203712.33
Российская Федерация,        Производство строительных металлических конструкций и изделий,477181378.7,567664877.21,551376017.45,619991174.62
Российская Федерация,"        Производство металлических цистерн, резервуаров и прочих емкостей",59693392.4,64812286.1,75018328.9,74017234.66
Российская Федерация,"        Производство паровых котлов, кроме котлов центрального отопления",84353723.0,82224232.5,88791120.3,86744045.23
Российская Федерация,"        Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",57478066.0,69993669.0,60226053.3,68033455.36
Российская Федерация,        Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,339303327.19,345422663.28,407179170.27,429695183.32
Российская Федерация,"        Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",41282336.2,45137070.85,44152936.6,44524149.35
Российская Федерация,"    Производство компьютеров, электронных и оптических изделий",1315062346.8,1357133835.1,1519203669.2,1528960509.51
Российская Федерация,    Производство электрического оборудования,907045171.58,1001513067.49,1041579367.3,1075859977.65
Российская Федерация,"        Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",370887392.68,413689439.6,414885974.8,413671233.69
Российская Федерация,        Производство электрических аккумуляторов и аккумуляторных батарей,34727798.0,37389357.9,38198320.6,36102222.6
Российская Федерация,        Производство кабелей и кабельной арматуры,231886557.4,266323017.3,285603040.7,294819750.32
Российская Федерация,        Производство электрических ламп и осветительного оборудования,45427547.4,48655417.99,53721883.3,58382228.19
Российская Федерация,        Производство бытовых приборов,112310855.2,121912463.1,130191924.9,146519990.53
Российская Федерация,        Производство прочего электрического оборудования,111805020.9,113543371.6,118978223.0,126364552.22
Российская Федерация,"    Производство машин и оборудования, не включенных в другие группировки",1125420328.08,1249275941.07,1334048402.84,1440427596.5
Российская Федерация,        Производство машин и оборудования общего назначения,368126408.85,393317924.9,412457076.04,439211969.68
Российская Федерация,        Производство прочих машин и оборудования общего назначения,310584598.13,352861167.3,389500098.2,395683235.18
Российская Федерация,        Производство машин и оборудования для сельского и лесного хозяйства,128221280.5,123870900.8,120792706.1,168212614.79
Российская Федерация,"        Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",22322492.4,29766674.0,29657869.7,33585142.5
Российская Федерация,        Производство прочих машин специального назначения,296165548.2,349459273.67,381640653.3,403734634.35
Российская Федерация,"    Производство автотранспортных средств, прицепов и полуприцепов",2126154145.3,2549635355.35,2710317633.47,2565637260.22
Российская Федерация,        Производство автотранспортных средств,1627493071.0,1979682092.1,2057888405.1,1954448051.32
Российская Федерация,        Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов,67672674.3,81182711.4,82949100.5,85069253.01
Российская Федерация,        Производство комплектующих и принадлежностей для автотранспортных средств,430988400.2,488770552.05,569480127.47,526119955.89
Российская Федерация,    Производство прочих транспортных средств и оборудования,2027117355.7,2163141122.9,2277119297.9,2212073246.94
Российская Федерация,        Производство железнодорожных локомотивов и подвижного состава,604460725.6,758357722.8,1008857773.7,797752938.04
Российская Федерация,"        Производство летательных аппаратов, включая космические, и соответствующего оборудования",966833002.0,920166461.5,838065624.3,873096164.15
Российская Федерация,"        Производство транспортных средств и оборудования, не включенных в другие группировки",12816340.5,12259768.9,11326756.3,13145315.6
Российская Федерация,    Производство мебели,253044916.1,282708727.37,289895674.77,308118740.76
Российская Федерация,    Производство прочих готовых изделий,216092099.0,239350815.57,265327419.87,300141804.6
Российская Федерация,"        Производство ювелирных изделий, бижутерии и подобных товаров",100661841.3,118794797.7,128052068.09,112451445.25
Российская Федерация,        Производство музыкальных инструментов,247295.5,500479.1,505278.7,584090.6
Российская Федерация,        Производство спортивных товаров,7718481.6,8813567.07,10467333.3,10210276.96
Российская Федерация,        Производство игр и игрушек,11779134.1,12187553.93,13066619.8,16253668.56
Российская Федерация,        Производство медицинских инструментов и оборудования,40407570.5,38018715.5,48560074.1,92299693.59
Российская Федерация,"        Производство изделий, не включенных в другие группировки",55277776.0,61035702.97,64676044.68,68342629.64
Российская Федерация,    Ремонт и монтаж машин и оборудования,995680806.58,1064389590.49,1169114032.8,1220061300.75
Российская Федерация,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",5379682101.53,5641920057.83,5805454072.83,5959974485.08
Российская Федерация,"    Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",5379682101.53,5641920057.83,5805454072.83,5959974485.08
Российская Федерация,"        Производство, передача и распределение электроэнергии",3598838297.75,3786797960.98,3949300291.93,3927529399.67
Российская Федерация,        Производство и распределение газообразного топлива,218191811.5,225907326.0,222152400.6,277683002.41
Российская Федерация,"        Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",1562651992.28,1629214770.85,1634001381.1,1754762083.0
Российская Федерация,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",1022498278.08,1185587419.24,1324312788.98,1428755173.09
Российская Федерация,"    Забор, очистка и распределение воды",277069237.68,293538606.35,301852233.48,322008997.89
Российская Федерация,        Сбор и обработка сточных вод,204752572.7,226786792.0,222766658.24,229662983.64
Российская Федерация,"    Сбор, обработка и утилизация отходов; обработка вторичного сырья",515320098.5,649369020.29,792143402.26,869199776.26
Российская Федерация,"    Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов",25356369.1,15893000.5,7550493.8,7883414.7
Российская Федерация,Промышленное производство (промышленность),59030807964.68,69620889311.88,72889918157.67,69670179334.33
Российская Федерация,"Производство готовых металлических изделий, не включенных в другие группировки",1236842833.19,1274291736.56,1486476956.22,1497198469.79
Российская Федерация,"Производство прочих транспортных средств, не включенных в другие группировки",443007287.6,472357169.7,418869143.6,528078829.15
    Центральный федеральный округ,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1502690877.5,2099611109.4,2102477315.6,1443869199.7
    Центральный федеральный округ,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,13196674862.83,15104469777.48,16610438006.25,17374220121.16
    Центральный федеральный округ,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",1691478631.75,1748280374.88,1753189819.96,1945376605.7
    Центральный федеральный округ,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",312144168.64,379124085.9,420235040.66,469637089.69
    Центральный федеральный округ,Промышленное производство (промышленность),16702988540.72,19331485347.56,20886340182.26,21233103016.45
        Белгородская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,116588313.5,148863422.7,178389894.9,189803813.7
        Белгородская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,629092604.8,710828806.31,722699719.47,746380688.41
        Белгородская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",27030715.9,26805485.3,26542583.5,26787381.9
        Белгородская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",10614103.8,8936415.0,11404169.8,11175025.3
        Белгородская область,Промышленное производство (промышленность),783325738.0,895434129.31,939036367.47,974146909.31
        Брянская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,277427.7,261549.5,338027.3,310665.9
        Брянская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,191018941.6,218544123.8,253661572.1,255686208.3
        Брянская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",16064108.9,17730258.7,17708749.5,17876399.5
        Брянская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",7347143.3,8901072.7,9258735.3,9588966.4
        Брянская область,Промышленное производство (промышленность),214707621.5,245437004.7,280967084.2,283462240.1
        Владимирская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,4003911.4,5005218.9,5425671.9,4965110.5
        Владимирская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,406483639.23,448427737.2,491830249.31,526153656.11
        Владимирская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",33308180.36,36295121.0,37815667.16,37264660.97
        Владимирская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",9986624.8,11257184.5,11581929.2,12942570.39
        Владимирская область,Промышленное производство (промышленность),453782355.79,500985261.6,546653517.57,581325997.97
        Воронежская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,6282741.9,7726219.1,9026582.6,9230600.5
        Воронежская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,422943623.6,448223412.7,505912516.6,552645129.4
        Воронежская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",88207265.3,99618105.83,110384800.9,137798961.7
        Воронежская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",12116144.9,13512418.1,15657245.0,18592053.8
        Воронежская область,Промышленное производство (промышленность),529549775.7,569080155.73,640981145.1,718266745.4
        Ивановская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,754680.2,971838.3,1237760.3,1170505.2
        Ивановская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,133335467.9,152791673.1,158111515.2,184046210.8
        Ивановская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",32003154.6,31077060.8,29421045.8,28174991.4
        Ивановская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",4285184.6,4686647.3,5762633.9,6394404.2
        Ивановская область,Промышленное производство (промышленность),170378487.3,189527219.5,194532955.2,219786111.6
        Калужская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,3672184.1,3937936.0,3712914.3,4778744.1
        Калужская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,672705723.5,830715979.7,882806003.4,883848076.8
        Калужская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",23199689.2,23282434.3,23566269.8,25199220.5
        Калужская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",8463450.1,10017198.0,9868975.9,10263402.5
        Калужская область,Промышленное производство (промышленность),708041046.9,867953548.0,919954163.4,924089443.9
        Костромская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,317428.3,400884.8,1021948.8,1151136.2
        Костромская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,118263216.38,135819920.2,143962807.8,137460634.8
        Костромская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",39628210.8,36784728.6,41467418.1,32142719.0
        Костромская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",3100676.4,3374307.6,3608291.7,3817116.6
        Костромская область,Промышленное производство (промышленность),161309531.88,176379841.2,190060466.4,174571606.6
        Курская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,67782750.0,91249480.0,105884871.7,104702314.0
        Курская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,176100175.2,194722555.4,197465869.8,210207310.4
        Курская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",60308600.5,58383081.5,60319708.5,57324742.9
        Курская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",4582104.4,9053093.4,8641986.6,6601104.2
        Курская область,Промышленное производство (промышленность),308773630.1,353408210.3,372312436.6,378835471.5
        Липецкая область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,5765034.1,7051861.7,7731655.2,6843657.3
        Липецкая область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,628043268.2,756975670.3,683021815.9,737842641.0
        Липецкая область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",25921159.6,25534033.2,24443387.1,23272161.3
        Липецкая область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",10346719.9,12408955.8,11369353.1,11323568.2
        Липецкая область,Промышленное производство (промышленность),670076181.8,801970520.9,726566211.3,779282027.8
        Московская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,13869594.7,12744378.6,15399185.4,13840410.0
        Московская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,2328070910.42,2600340207.06,3014481197.2,3116645931.94
        Московская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",279036305.49,287727587.95,276445386.0,278649519.01
        Московская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",72278734.44,94554874.0,96824039.0,114241824.81
        Московская область,Промышленное производство (промышленность),2693255545.05,2995367047.61,3403149807.6,3523377685.76
        Орловская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,105945.1,231823.8,279700.5,264510.4
        Орловская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,104210691.2,115793202.9,117839329.5,132055767.3
        Орловская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",13353015.8,13793879.5,13508055.7,13424737.5
        Орловская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",3237557.3,3889587.1,5206360.1,4207389.8
        Орловская область,Промышленное производство (промышленность),120907209.4,133708493.3,136833445.8,149952405.0
        Рязанская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1781007.5,1664019.4,1571524.0,1509023.3
        Рязанская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,277309421.2,303564399.5,326074186.2,341384630.8
        Рязанская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",37934627.6,38454314.1,39783426.0,40118028.7
        Рязанская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",5162689.8,5858573.1,6759539.8,9134712.1
        Рязанская область,Промышленное производство (промышленность),322187746.1,349541306.1,374188676.0,392146394.9
        Смоленская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1453951.9,1791166.9,1619481.5,2038290.5
        Смоленская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,192044237.4,209367235.3,209663736.7,219478208.7
