region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Российская Федерация,    Подраздел DB ТЕКСТИЛЬНОЕ И ШВЕЙНОЕ ПРОИЗВОДСТВО,101423341.0,130600663.4,136644347.8,156882830.2,155789172.4,205457311.53,211780285.19,212381767.39,242860455.38,264006921.71,353609663.46,351976546.46
Российская Федерация,        Текстильное производство,59503632.42,66547128.71,79048498.77,86257618.64,92333266.85,117846764.6,124791097.33,120365502.79,129685805.09,136385416.36,201973655.58,206259098.01
Российская Федерация,        Производство одежды; выделка и крашение меха,41919708.57,64053534.67,57595848.99,70625211.58,63455905.5,87610547.93,86989187.85,92016264.6,113174650.29,127621505.35,151636007.87,145717448.45
Российская Федерация,"    Подраздел DC ПРОИЗВОДСТВО КОЖИ, ИЗДЕЛИЙ ИЗ КОЖИ И ПРОИЗВОДСТВО ОБУВИ",19709689.46,24667415.29,29487347.89,34393005.54,34751270.32,43722164.6,50310134.42,49489837.48,52920720.92,50178599.54,64990365.05,69545613.96
Российская Федерация,"        Производство кожи, изделий из кожи и производство обуви",19709689.85,24667415.17,29487347.89,34393005.54,34751270.32,43722164.6,50310134.42,49489837.48,52920720.92,50178599.54,64990365.05,69545613.96
Российская Федерация,    Подраздел DD ОБРАБОТКА ДРЕВЕСИНЫ И ПРОИЗВОДСТВО ИЗДЕЛИЙ  ИЗ ДЕРЕВА,145323168.7,165064340.9,220645552.1,244716195.4,214149813.3,264278029.14,303361613.27,354562098.47,377346420.1,395527599.17,506968909.14,524029870.38
Российская Федерация,"        Обработка древесины и производство изделий из дерева и пробки, кроме мебели",145323168.8,165064340.5,220645552.1,244716195.4,214149813.3,264278029.14,303361613.27,354562098.47,377346420.1,395527599.17,506968909.14,524029870.38
Российская Федерация,    Подраздел DE ЦЕЛЛЮЛОЗНО-БУМАЖНОЕ ПРОИЗВОДСТВО;  ИЗДАТЕЛЬСКАЯ И ПОЛИГРАФИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,314969076.6,389339822.3,498105873.9,549799366.2,498950596.0,636245927.56,679590825.12,742935153.57,765819633.26,824077014.71,1094924699.45,1148727764.98
Российская Федерация,"        Производство целлюлозы, древесной массы, бумаги, картона и изделий из них",171355317.5,198336919.7,232557246.9,249816273.2,256839067.8,337791636.01,391018954.38,405393895.1,407764316.49,473206931.32,672958065.93,719176940.73
Российская Федерация,"        Издательская и полиграфическая деятельность, тиражирование записанных носителей информации",143613759.0,191002902.6,265548627.1,299983093.0,242111528.2,298454296.55,288571870.74,337541258.47,358055316.77,350870083.39,421966633.52,429550824.25
Российская Федерация,    Подраздел DG ХИМИЧЕСКОЕ ПРОИЗВОДСТВО,672332374.8,764300253.6,944965256.1,1312181013.0,1061671548.0,1427273108.8,1812751938.13,1941783766.05,1886216419.03,2102320773.3,2766833737.3,2770635355.14
Российская Федерация,        Химическое производство,672332375.3,764300253.5,944965256.6,1312181013.0,1061671548.0,1427273108.8,1812751938.13,1941783766.05,1886216419.03,2102320773.3,2766833737.3,2770635355.14
Российская Федерация,    Подраздел DH ПРОИЗВОДСТВО РЕЗИНОВЫХ И ПЛАСТМАССОВЫХ ИЗДЕЛИЙ,198961448.6,259632622.3,356841506.0,404816824.2,374950608.6,515187060.2,571232785.46,635776880.22,670353462.14,691851823.07,914944913.71,898935369.95
Российская Федерация,        Производство резиновых и пластмассовых изделий,198961447.9,259632622.9,356841506.2,404816824.2,374950608.6,515187060.2,571232785.46,635776880.22,670353462.14,691851823.07,914944913.71,898935369.95
Российская Федерация,    Подраздел DI ПРОИЗВОДСТВО ПРОЧИХ НЕМЕТАЛЛИЧЕСКИХ МИНЕРАЛЬНЫХ ПРОДУКТОВ,425939542.8,568972979.7,853339642.5,1009618475.0,683283156.3,827328741.15,1017615838.9,1158986953.34,1217480431.93,1253870065.96,1394317585.8,1294727017.1
Российская Федерация,        Производство прочих неметаллических минеральных продуктов,425939542.8,568972979.5,853339642.6,1009618475.0,683283156.3,827328741.15,1017615838.9,1158986953.34,1217480431.93,1253870065.96,1394317585.8,1294727017.1
Российская Федерация,    Подраздел DJ МЕТАЛЛУРГИЧЕСКОЕ ПРОИЗВОДСТВО И  ПРОИЗВОДСТВО ГОТОВЫХ МЕТАЛЛИЧЕСКИХ ИЗДЕЛИЙ,1902898252.0,2415857637.0,2953134707.0,3294771467.0,2393231710.0,3423981850.84,4045196101.34,4010151642.66,3954695849.04,4564876066.74,5730041902.72,5630578641.19
Российская Федерация,        Металлургическое производство,1629888586.0,2068149142.0,2480949514.0,2711913859.0,1894284955.0,2770260784.7,3282951265.31,3193990292.17,3095279111.07,3666573452.76,4452803189.17,4459646395.65
Российская Федерация,        Производство готовых металлических изделий,273009666.3,347708495.3,472185192.8,582857607.5,498946754.7,653721065.14,762244836.03,816161350.49,859416737.97,898302613.94,1277238713.55,1170932245.54
Российская Федерация,"    Подраздел DL ПРОИЗВОДСТВО ЭЛЕКТРООБОРУДОВАНИЯ,  ЭЛЕКТРОННОГО И ОПТИЧЕСКОГО ОБОРУДОВАНИЯ",452288127.1,600105001.0,829374070.9,910352166.2,816583772.8,1131548843.78,1329329435.18,1481610730.03,1535828484.13,1715780312.6,2206082489.2,2368927046.45
Российская Федерация,        Производство офисного оборудования и вычислительной техники,12386990.5,29638558.13,45911254.23,38545126.31,32970135.6,48517024.7,56825705.14,71974332.01,73826412.91,77301473.21,98478781.8,91757475.94
Российская Федерация,        Производство электрических машин и электрооборудования,216450294.1,288466078.3,392260555.8,450089556.0,355228392.1,484927407.43,563174217.46,641252843.2,644342831.21,659728423.25,859466267.2,842301816.34
Российская Федерация,"        Производство электронных компонентов, аппаратуры для радио, телевидения и связи",105662083.9,125759414.5,174395152.5,192472813.1,174197267.0,252084725.1,289452534.81,330222257.82,344610101.44,432199344.04,494006516.8,584882698.08
Российская Федерация,"        Производство медицинских изделий; средств измерений, контроля, управления и испытаний; оптических приборов, фото- и кинооборудования; часов",111506110.1,156240950.1,216807108.6,229244670.9,254187978.1,346019684.55,419876977.77,438161297.0,473049138.57,546551072.1,754130923.4,849985056.09
Российская Федерация,    Подраздел DM ПРОИЗВОДСТВО ТРАНСПОРТНЫХ СРЕДСТВ И  ОБОРУДОВАНИЯ,833099929.7,1023761600.0,1284005661.0,1513307988.0,1119441491.0,1669930420.03,2339931925.59,2800497811.39,3161599551.92,3179897650.82,3111033707.49,3460670756.11
Российская Федерация,"        Производство автомобилей, прицепов и полуприцепов",476370882.6,608641507.8,785485867.7,901534333.3,506997193.4,895792048.82,1361513029.26,1634862965.56,1712610202.39,1700485878.65,1451084986.49,1587678880.47
Российская Федерация,"        Производство судов, летательных и космических аппаратов и прочих транспортных средств",356729047.1,415120092.6,498519793.0,611773654.3,612444297.4,774138377.21,978418896.33,1165634845.83,1448989349.53,1479411772.17,1659948721.0,1872991875.64
Российская Федерация,                Строительство и ремонт судов,,,,,,136517971.0,,,,,,
Российская Федерация,    Подраздел DN ПРОЧИЕ ПРОИЗВОДСТВА,223232717.6,277104648.6,376411766.2,457022470.2,303503803.0,479176629.78,513311239.25,567707214.7,580913597.01,655298467.78,888730290.21,744641758.41
Российская Федерация,"        Производство мебели и прочей продукции, не включенной в другие группировки",134310684.7,152756955.0,200570580.4,247226276.9,216698189.0,284324479.88,316812374.02,345516417.76,370131056.11,419930649.53,474650563.01,420028099.65
Российская Федерация,        Обработка вторичного сырья,88922032.83,124347693.6,175841185.8,209796193.4,86805613.93,194852148.9,196498865.23,222190796.94,210782540.9,235367818.25,414079727.2,324613658.76
Российская Федерация,"РАЗДЕЛ E ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ",1690655680.0,2162207096.0,2145668486.0,2572987541.0,3030164556.0,3665279734.63,4219137424.26,4160147357.63,4491574371.8,4712009046.89,4917676983.22,5332278137.3
Российская Федерация,"Добыча и обогащение прочих полезных ископаемых, не включенных в другие группировки",,,,,,111577019.3,,,,,,
Российская Федерация,Добыча и обогащение руд прочих цветных металлов,,,,,,190186161.5,,,,,,
Российская Федерация,"Добыча полезных ископаемых; обрабатывающие производства; производство и распределение электроэнергии, газа и воды",13625091459.0,17068467590.0,20612360718.0,24708335138.0,,28763968485.8,35052634405.0,38220824887.0,,,,
Российская Федерация,"Продукция прочих материалов и веществ, не включенных в другие группировки",181040419.2,213466853.7,278276192.6,,,459163367.03,546598759.3,629252476.1,,,,
Российская Федерация,Производство кокса и нефтепродуктов,1438125236.0,2002260162.0,2277114690.0,2983695040.0,2661536721.0,3522173213.9,4553720571.1,5219116618.96,6030711291.37,6848026923.41,7061093460.8,6841876920.16
Российская Федерация,Производство машин и оборудования (без производства оружия и боеприпасов),476979477.3,621081692.4,796103167.9,1000558892.0,801599455.5,1013071357.85,1237036012.0,1305850291.73,1352142473.1,1373299329.12,1708973172.09,1626312510.57
Российская Федерация,Производство отливок из легких металлов и  прочих цветных металлов,,,,,,11230112.9,,,,,,
Российская Федерация,"Производство, передача и распределение электроэнергии, газа, пара и горячей воды",1588001328.0,2040881734.0,2006586436.0,2412539464.0,2849225784.0,3458891001.41,4002260576.26,3937417158.13,4259161128.16,4471669260.69,4662296789.32,5059594329.37
Российская Федерация,"Сбор, очистка и распределение воды",101834152.5,121325362.2,139082049.8,160433897.8,,206388741.22,216876848.0,222730199.5,232413243.64,240339786.2,255380193.9,272683807.93
Российская Федерация,"            Сбор, очистка и распределение воды",,,,160448076.8,,206388741.22,,222730199.5,,,,
Российская Федерация,"                Сбор, очистка и распределение воды",,,,160448076.8,180938772.5,206007920.2,216876848.0,,,,,
    Центральный федеральный округ,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,76390377.19,184869040.8,541418127.1,590703159.9,548343282.1,623876676.2,833561943.25,892150620.97,985153569.1,901805108.35,1052127861.1,1144558038.6
    Центральный федеральный округ,    Подраздел СА ДОБЫЧА ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ  ИСКОПАЕМЫХ,3579501.47,106624996.7,436861164.9,465585191.3,474118893.7,488813638.2,643956852.34,714511767.4,797111475.4,733925124.6,882179425.8,966264221.43
    Центральный федеральный округ,"        Добыча каменного угля,бурого угля и торфа",739480.0,620189.0,615529.6,686416.05,473045.48,540029.2,639555.84,554256.35,571677.9,579570.8,1299000.1,532570.1
    Центральный федеральный округ,        Добыча сырой нефти и природного газа; предоставление услуг в этих областях,2840021.47,106004807.7,436245635.3,464898775.2,473645848.2,488273609.0,643317296.5,713957511.05,796539797.5,733345553.8,880880425.7,965731651.33
    Центральный федеральный округ,        Добыча урановой и ториевой руд,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Центральный федеральный округ,"    Подраздел СВ ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, КРОМЕ ТОПЛИВНО- ЭНЕРГЕТИЧЕСКИХ",72810875.72,78244044.14,104556962.2,125117968.7,74224388.42,135063042.0,189605090.91,177638853.57,188042093.7,167879983.75,169948435.3,178293817.17
    Центральный федеральный округ,        Добыча металлических руд,60196115.88,61253259.4,80924241.41,93131526.6,50033660.3,109413618.2,159252623.5,138959685.8,142608921.2,124104078.6,122989034.9,135035268.9
    Центральный федеральный округ,        Добыча прочих полезных ископаемых,12614759.85,16990784.74,23632720.75,31986442.07,24190728.12,25649423.8,30352467.41,38679167.77,45433172.5,43775905.15,46959400.4,43258548.27
    Центральный федеральный округ,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,2587947844.0,3428776306.0,4431493103.0,5304670121.0,4483282805.0,5726918385.28,6764832295.01,7455335064.78,8528202412.27,9764584686.58,11810785597.15,12790094978.17
    Центральный федеральный округ,"    Подраздел DA ПРОИЗВОДСТВО ПИЩЕВЫХ ПРОДУКТОВ, ВКЛЮЧАЯ НАПИТКИ, И ТАБАКА",590213601.9,655416659.7,849849994.7,1055856711.0,1137885167.0,1272485145.37,1390706754.57,1547453763.88,1671503750.55,1895975459.76,2373083499.8,2506549041.32
    Центральный федеральный округ,"        Производство пищевых продуктов, включая напитки",570991014.7,636806658.6,832249138.8,1035332059.0,1109209945.0,1243885363.97,1365265640.27,1522412406.28,1648142448.45,1871850075.96,2346531694.0,2481080022.62
    Центральный федеральный округ,        Производство табачных изделий,19135029.2,18610001.1,17600855.9,20524652.0,28675221.75,28599781.4,25441114.3,25041357.6,23361302.1,24125383.8,26551805.8,25469018.7
    Центральный федеральный округ,    Подраздел DB ТЕКСТИЛЬНОЕ И ШВЕЙНОЕ ПРОИЗВОДСТВО,50966884.92,73289204.48,67026997.42,77790537.79,81667821.41,111259010.0,105833814.1,105634315.6,123175685.2,131701385.45,189196962.4,191028888.35
    Центральный федеральный округ,        Текстильное производство,37584459.59,39367740.9,45781816.34,50028788.39,59313420.61,75497193.4,74546931.2,71941686.86,78336959.81,82872445.46,124368959.0,122650638.44
    Центральный федеральный округ,        Производство одежды; выделка и крашение меха,13382425.33,33921463.58,21245181.07,27761749.4,22354400.8,35761816.6,31286882.9,33692628.74,44838725.39,48828939.99,64828003.4,68378249.91
    Центральный федеральный округ,"    Подраздел DC ПРОИЗВОДСТВО КОЖИ, ИЗДЕЛИЙ ИЗ КОЖИ И ПРОИЗВОДСТВО ОБУВИ",10898992.27,14383556.6,16718690.1,18635422.52,19781348.56,24468018.4,28984430.1,27919053.64,29569736.65,26526144.18,35632527.7,40669458.78
    Центральный федеральный округ,"        Производство кожи, изделий из кожи и производство обуви",10898992.27,14383556.6,16718690.1,18635422.52,19781348.56,24468018.4,28984430.1,27919053.64,29569736.65,26526144.18,35632527.7,40669458.78
    Центральный федеральный округ,    Подраздел DD ОБРАБОТКА ДРЕВЕСИНЫ И ПРОИЗВОДСТВО ИЗДЕЛИЙ  ИЗ ДЕРЕВА,33151183.91,44193611.0,55796805.55,66253866.8,55094476.22,68304093.38,78439861.68,89379088.51,95877385.48,105081309.28,123187296.7,126025633.01
    Центральный федеральный округ,"        Обработка древесины и производство изделий из дерева и пробки, кроме мебели",33151183.91,44193611.0,55796805.55,66253866.8,55094476.22,68304093.38,78439861.68,89379088.51,95877385.48,105081309.28,123187296.7,126025633.01
    Центральный федеральный округ,    Подраздел DE ЦЕЛЛЮЛОЗНО-БУМАЖНОЕ ПРОИЗВОДСТВО;  ИЗДАТЕЛЬСКАЯ И ПОЛИГРАФИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,123348036.1,168025193.0,237195986.1,258606237.1,208964082.1,278203202.51,271836720.13,334900939.77,349657592.12,371763739.82,444516614.38,476471235.82
    Центральный федеральный округ,"        Производство целлюлозы, древесной массы, бумаги, картона и изделий из них",31583731.6,36185107.56,49925799.39,55604416.67,61104036.36,92094108.0,103125259.5,126778596.49,126148203.1,153923364.69,198972206.1,205450446.58
    Центральный федеральный округ,"        Издательская и полиграфическая деятельность, тиражирование записанных носителей информации",91764304.52,131840085.4,187270186.7,203001820.4,147860045.8,186109095.51,168711460.63,208122343.28,223509389.02,217840375.13,245544408.28,271020789.24
    Центральный федеральный округ,    Подраздел DG ХИМИЧЕСКОЕ ПРОИЗВОДСТВО,192123321.4,214746815.2,284538588.9,358108424.9,296972358.7,408690854.2,463050453.0,514553695.89,468845691.63,532159894.71,743514635.4,766499267.64
    Центральный федеральный округ,        Химическое производство,192123321.4,214746815.2,284538588.9,358108424.9,296972358.7,408690854.2,463050453.0,514553695.89,468845691.63,532159894.71,743514635.4,766499267.64
    Центральный федеральный округ,    Подраздел DH ПРОИЗВОДСТВО РЕЗИНОВЫХ И ПЛАСТМАССОВЫХ ИЗДЕЛИЙ,82716026.63,97345513.85,133674589.6,146621580.3,154564502.6,200912187.6,221630663.2,251510619.35,262181554.87,274040564.98,378953014.1,384301876.75
    Центральный федеральный округ,        Производство резиновых и пластмассовых изделий,82716026.63,97345513.85,133674589.6,146621580.3,154564502.6,200912187.6,221630663.2,251510619.35,262181554.87,274040564.98,378953014.1,384301876.75
    Центральный федеральный округ,    Подраздел DI ПРОИЗВОДСТВО ПРОЧИХ НЕМЕТАЛЛИЧЕСКИХ МИНЕРАЛЬНЫХ ПРОДУКТОВ,160402193.6,228979567.1,352822261.7,372008838.2,258670034.0,310989274.7,383799213.55,402423079.98,419550297.06,429152040.18,475433484.8,445478635.6
    Центральный федеральный округ,        Производство прочих неметаллических минеральных продуктов,160402193.6,228979567.1,352822261.7,372008838.2,258670034.0,310989274.7,383799213.55,402423079.98,419550297.06,429152040.18,475433484.8,445478635.6
    Центральный федеральный округ,    Подраздел DJ МЕТАЛЛУРГИЧЕСКОЕ ПРОИЗВОДСТВО И  ПРОИЗВОДСТВО ГОТОВЫХ МЕТАЛЛИЧЕСКИХ ИЗДЕЛИЙ,335864817.7,404194964.4,492814244.3,621532527.9,440227237.8,607089804.54,734110923.92,766246897.78,796860599.33,974293481.47,1295734127.42,1321783624.36
    Центральный федеральный округ,        Металлургическое производство,245089804.7,294095052.9,336167458.2,438656949.6,272683853.0,409563331.2,502787755.34,499116523.31,507359575.15,668074815.31,864825806.2,928011939.58
    Центральный федеральный округ,        Производство готовых металлических изделий,90775012.93,110099911.5,156646786.1,182875578.3,167543384.8,197526472.34,231323168.58,267130374.47,289501024.18,306218666.16,430908321.22,393771684.78
    Центральный федеральный округ,"    Подраздел DL ПРОИЗВОДСТВО ЭЛЕКТРООБОРУДОВАНИЯ,  ЭЛЕКТРОННОГО И ОПТИЧЕСКОГО ОБОРУДОВАНИЯ",180357834.0,250362807.5,346007433.9,358975239.1,325499646.9,473690502.31,545746456.57,597559029.8,629293387.29,718410905.7,936583416.0,1106707064.17
    Центральный федеральный округ,        Производство офисного оборудования и вычислительной техники,8730610.1,21453824.7,32725712.37,26611454.0,21983738.98,30726876.6,32788607.14,37258405.67,39472348.58,45688154.4,57698596.8,55430046.5
    Центральный федеральный округ,        Производство электрических машин и электрооборудования,80827497.25,115235709.6,148401553.4,162646892.9,119661294.3,170597562.21,183772195.87,213704501.26,221757505.06,223580039.29,300358822.7,301003781.23
    Центральный федеральный округ,"        Производство электронных компонентов, аппаратуры для радио, телевидения и связи",45834086.7,49062586.98,67554685.3,79878572.97,85582480.36,133686673.1,152505011.31,165496898.28,178795886.01,236150349.35,272342036.0,348826975.35
    Центральный федеральный округ,"        Производство медицинских изделий; средств измерений, контроля, управления и испытаний; оптических приборов, фото- и кинооборудования; часов",40953121.01,64610686.38,97325483.07,89838319.18,98272133.29,138679388.4,176680642.25,181099224.59,189267647.64,212992362.66,306183960.5,401446261.09
    Центральный федеральный округ,    Подраздел DM ПРОИЗВОДСТВО ТРАНСПОРТНЫХ СРЕДСТВ И  ОБОРУДОВАНИЯ,148748092.7,204275582.4,253524942.3,313009145.5,269277485.9,387124269.6,538689109.87,667511525.41,745584538.75,749496869.36,747196426.3,974342643.97
    Центральный федеральный округ,"        Производство автомобилей, прицепов и полуприцепов",50741857.7,75201080.34,96244573.2,132327339.6,85255313.67,189632261.8,274431871.07,346320185.21,368414343.67,356568332.35,276616991.2,319273679.9
    Центральный федеральный округ,"        Производство судов, летательных и космических аппаратов и прочих транспортных средств",98006234.97,129074502.0,157280369.1,180681805.9,184022172.2,197492008.8,264257238.8,321191340.2,377170195.08,392928537.01,470579435.1,655068964.07
    Центральный федеральный округ,                Строительство и ремонт судов,,,,,,5114310.1,,,,,,
    Центральный федеральный округ,    Подраздел DN ПРОЧИЕ ПРОИЗВОДСТВА,94810424.66,107625516.3,153584916.0,172889519.5,142927296.2,196837393.48,203252094.5,242673607.11,256787187.27,264252428.64,343853024.05,319556049.61
    Центральный федеральный округ,"        Производство мебели и прочей продукции, не включенной в другие группировки",77774879.37,83225149.22,112800184.4,123527730.9,117238442.9,142086414.08,159073088.1,181142376.43,196271165.76,211244906.66,218960924.35,193116632.23
    Центральный федеральный округ,        Обработка вторичного сырья,17035545.3,24400367.08,40784731.59,49361788.57,25688853.34,54750980.4,44179006.4,61531230.68,60516021.51,53007521.98,124892099.7,126439417.38
    Центральный федеральный округ,"РАЗДЕЛ E ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ",492031598.8,697105250.3,640394776.2,761655073.8,920479765.4,1156520042.7,1392745048.45,1298227695.12,1368386643.91,1411689796.72,1491883505.9,1668238286.39
    Центральный федеральный округ,"Добыча и обогащение прочих полезных ископаемых, не включенных в другие группировки",,,,,,383722.0,,,,,,
    Центральный федеральный округ,Добыча и обогащение руд прочих цветных металлов,,,,,,570.0,,,,,,
    Центральный федеральный округ,"Добыча полезных ископаемых; обрабатывающие производства; производство и распределение электроэнергии, газа и воды",3156369820.0,4310750597.0,5613306006.0,6657028355.0,,7507315104.18,8991139287.0,9645713381.0,,,,
    Центральный федеральный округ,"Продукция прочих материалов и веществ, не включенных в другие группировки",69724781.9,84110049.9,119497770.9,,,226603552.83,298773816.5,304253408.3,,,,
    Центральный федеральный округ,Производство кокса и нефтепродуктов,358419581.7,651548390.8,794504565.3,992990176.4,612527485.3,789736329.7,1018068490.9,1121108510.66,1832836516.4,2318345802.02,2459317851.3,2260429741.8
    Центральный федеральный округ,Производство машин и оборудования (без производства оружия и боеприпасов),156202070.5,230278873.4,273935315.6,338306625.8,279682548.4,370524742.66,481909492.4,482207529.1,482901295.07,503224182.83,627445283.4,604262125.59
    Центральный федеральный округ,Производство отливок из легких металлов и  прочих цветных металлов,,,,,,5212655.6,,,,,,
    Центральный федеральный округ,"Производство, передача и распределение электроэнергии, газа, пара и горячей воды",463504940.2,663938399.2,600343131.1,716172393.5,867881385.4,1095951186.79,1327013441.06,1229839876.38,1297542636.72,1340124086.77,1416502447.12,1592982726.89
    Центральный федеральный округ,"Сбор, очистка и распределение воды",28398107.85,33166851.15,40051645.1,45482680.31,,60568856.91,65731607.39,68387818.74,70844007.19,71565709.95,75381058.78,75255559.5
    Центральный федеральный округ,"            Сбор, очистка и распределение воды",,,,45482680.31,,60568856.91,,68387818.74,,,,
    Центральный федеральный округ,"                Сбор, очистка и распределение воды",,,,45482680.31,52598379.95,60568856.91,65731607.39,,,,,
        Белгородская область,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,40389903.8,41101609.9,56922776.3,62221491.5,35375249.7,73704030.2,110158114.1,94390019.14,96017055.3,84222653.6,81211147.2,88929906.1
        Белгородская область,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,101733703.2,136648611.4,191797767.1,270780688.3,241638293.0,319535999.4,369160548.9,409329770.08,404466628.54,470245297.24,562897323.5,603881379.96
        Белгородская область,"РАЗДЕЛ E ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ",14705846.7,17032566.2,16144094.65,17132154.3,18758086.0,22524715.5,25057795.6,25258992.3,28868066.8,27360423.8,28740007.8,28225012.75
        Брянская область,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,136414.9,141595.15,160417.4,158416.6,171627.7,248249.7,370310.5,408871.4,387776.8,433378.3,425336.6,280672.3
        Брянская область,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,36954183.75,46796419.55,59920063.1,72687051.45,57848286.7,73862693.9,91981850.8,110054591.9,117647499.35,126464695.63,171551076.2,175557997.82
        Брянская область,"РАЗДЕЛ E ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ",7847969.3,8145168.2,8010096.4,9274234.3,10540095.9,12958634.0,14010325.7,14101974.73,10924213.6,13835732.87,15548651.8,16828772.5
        Владимирская область,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,552232.8,749592.05,1148717.5,1671730.88,1302697.05,1516791.1,1632291.4,2142804.85,3643259.3,4648023.3,3406255.4,3180328.6
        Владимирская область,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,81951987.52,99360809.0,144721046.4,160852829.7,142251801.0,189370407.9,222325446.8,244800473.96,270978369.61,313682226.6,376168121.2,411594159.61
        Владимирская область,"РАЗДЕЛ E ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ",12290273.45,15452645.3,13835109.3,17245520.65,20016688.55,22523478.7,26367923.2,28155375.0,30056751.8,31440918.05,33321196.9,36603516.27
