region,total,18_30,31_40,41_50,51_60,60_,date
Псковская область,50521.0,2515.0,3734.0,4425.0,8701.0,31146.0,2017-01-01
Северо-Кавказский федеральный округ,862618.0,85506.0,105172.0,152439.0,213609.0,305892.0,2017-01-01
Республика Дагестан,274752.0,36601.0,39276.0,57854.0,72797.0,68224.0,2017-01-01
Республика Ингушетия,49217.0,5610.0,6013.0,12250.0,14648.0,10696.0,2017-01-01
Кабардино-Балкарская Республика,57363.0,4031.0,4681.0,7701.0,14533.0,26417.0,2017-01-01
Карачаево-Черкесская Республика,49631.0,3883.0,4415.0,7876.0,13854.0,19603.0,2017-01-01
Республика Северная Осетия-Алания,67827.0,3530.0,4201.0,7858.0,15080.0,37158.0,2017-01-01
Чеченская Республика,141656.0,21645.0,31750.0,35620.0,32415.0,20226.0,2017-01-01
Ставропольский край,222172.0,10206.0,14836.0,23280.0,50282.0,123568.0,2017-01-01
Южный федеральный округ,1212610.0,60341.0,89126.0,127221.0,253820.0,682102.0,2017-01-01
Республика Адыгея,34501.0,1642.0,2441.0,3837.0,7314.0,19267.0,2017-01-01
Республика Калмыкия,22053.0,2040.0,1916.0,2353.0,5524.0,10220.0,2017-01-01
Республика Крым,123611.0,6304.0,10614.0,15742.0,31133.0,59818.0,2017-01-01
Краснодарский край,422600.0,19581.0,25953.0,37457.0,78831.0,260778.0,2017-01-01
Астраханская область,44995.0,3159.0,3974.0,4749.0,9136.0,23977.0,2017-01-01
Волгоградская область,181815.0,7822.0,11957.0,16660.0,32666.0,112710.0,2017-01-01
Ростовская область,363511.0,18936.0,30822.0,44501.0,85577.0,183675.0,2017-01-01
город Севастополь,19524.0,857.0,1449.0,1922.0,3639.0,11657.0,2017-01-01
Приволжский федеральный округ,2317242.0,99617.0,134787.0,181893.0,419064.0,1481881.0,2017-01-01
Республика Башкортостан,267582.0,12443.0,15774.0,20530.0,45442.0,173393.0,2017-01-01
Республика Марий Эл,65676.0,3096.0,3743.0,4785.0,12349.0,41703.0,2017-01-01
Республика Мордовия,72109.0,2825.0,4004.0,6333.0,15230.0,43717.0,2017-01-01
Республика Татарстан,291242.0,14245.0,17304.0,25639.0,60467.0,173587.0,2017-01-01
Удмуртская Республика,107815.0,5103.0,7938.0,9370.0,20981.0,64423.0,2017-01-01
Чувашская Республика,80549.0,3985.0,5122.0,7547.0,15226.0,48669.0,2017-01-01
Кировская область,130181.0,4338.0,6145.0,7660.0,20443.0,91595.0,2017-01-01
Нижегородская область,304121.0,10805.0,13985.0,18606.0,45696.0,215029.0,2017-01-01
Оренбургская область,202667.0,7967.0,10598.0,14082.0,34779.0,135241.0,2017-01-01
Пензенская область,98630.0,3854.0,5683.0,8034.0,17621.0,63438.0,2017-01-01
Пермский край,217102.0,9306.0,13333.0,15581.0,34096.0,144786.0,2017-01-01
Самарская область,223902.0,9715.0,14483.0,20938.0,45914.0,132852.0,2017-01-01
Саратовская область,139809.0,7044.0,9714.0,13326.0,27283.0,82442.0,2017-01-01
Ульяновская область,115857.0,4891.0,6961.0,9462.0,23537.0,71006.0,2017-01-01
Уральский федеральный округ,740674.0,40418.0,55696.0,63651.0,132597.0,448312.0,2017-01-01
Курганская область,76043.0,3440.0,4895.0,6230.0,14084.0,47394.0,2017-01-01
Свердловская область,280468.0,14554.0,21714.0,24282.0,46336.0,173582.0,2017-01-01
Тюменская область,95825.0,5353.0,7229.0,7689.0,17238.0,58316.0,2017-01-01
Ханты-Мансийский автономный округ,47098.0,4132.0,5368.0,5655.0,12349.0,19594.0,2017-01-01
Ямало-Ненецкий автономный округ,13484.0,1313.0,1324.0,1673.0,3697.0,5477.0,2017-01-01
Челябинская область,227756.0,11626.0,15166.0,18122.0,38893.0,143949.0,2017-01-01
Сибирский федеральный округ,1411470.0,82522.0,116756.0,130010.0,268073.0,814109.0,2017-01-01
Республика Алтай,22957.0,1177.0,1725.0,2049.0,4535.0,13471.0,2017-01-01
Республика Тыва,20373.0,2113.0,3003.0,4345.0,4839.0,6073.0,2017-01-01
Республика Хакасия,28901.0,1799.0,2800.0,2813.0,5493.0,15996.0,2017-01-01
Алтайский край,182975.0,8930.0,13527.0,13836.0,30477.0,116205.0,2017-01-01
Кемеровская область,234226.0,11758.0,17574.0,20912.0,48253.0,135729.0,2017-01-01
Новосибирская область,186246.0,9371.0,14325.0,16260.0,34482.0,111808.0,2017-01-01
Омская область,129033.0,6669.0,9976.0,11279.0,24598.0,76511.0,2017-01-01
Томская область,54745.0,3233.0,4677.0,4901.0,10010.0,31924.0,2017-01-01
Красноярский край,180508.0,11214.0,15512.0,17331.0,35588.0,100863.0,2017-01-01
Иркутская область,214981.0,16074.0,19455.0,21200.0,40231.0,118021.0,2017-01-01
Дальневосточный федеральный округ,362075.0,22432.0,31844.0,38077.0,65612.0,204110.0,2017-01-01
Республика Бурятия,74096.0,4946.0,7124.0,7561.0,15205.0,39260.0,2017-01-01
Забайкальский край,82429.0,5238.0,7058.0,7523.0,14362.0,48248.0,2017-01-01
Хабаровский край,70992.0,4005.0,5973.0,7064.0,11119.0,42831.0,2017-01-01
Амурская область,69063.0,3687.0,5260.0,6266.0,12679.0,41171.0,2017-01-01
Камчатский край,13802.0,931.0,1187.0,1551.0,2471.0,7662.0,2017-01-01
Магаданская область,5089.0,409.0,603.0,669.0,1095.0,2313.0,2017-01-01
Сахалинская область,21882.0,1527.0,2209.0,2429.0,3657.0,12060.0,2017-01-01
Еврейская автономная область,13361.0,879.0,1207.0,1231.0,2144.0,7900.0,2017-01-01
Чукотский автономный округ,1556.0,172.0,227.0,271.0,397.0,489.0,2017-01-01
Республика Саха (Якутия),51405.0,4526.0,5428.0,7041.0,12566.0,21844.0,2017-01-01
Приморский край,114925.0,6296.0,9750.0,11555.0,19484.0,67840.0,2017-01-01
г. Байконур,284.0,23.0,25.0,53.0,71.0,112.0,2017-01-01
Российская Федерация,11619539.0,549544.0,766298.0,1030217.0,2126015.0,7147465.0,2017-02-01
Центральный федеральный округ,3413074.0,118230.0,172609.0,257056.0,595522.0,2269657.0,2017-02-01
Белгородская область,222319.0,6283.0,10381.0,16552.0,37237.0,151866.0,2017-02-01
Брянская область,110033.0,4201.0,6544.0,10188.0,21375.0,67725.0,2017-02-01
Владимирская область,132953.0,4432.0,6797.0,9566.0,23172.0,88986.0,2017-02-01
Воронежская область,220442.0,7702.0,11485.0,17880.0,45451.0,137924.0,2017-02-01
Ивановская область,82533.0,3156.0,4671.0,6320.0,13433.0,54953.0,2017-02-01
Калужская область,78460.0,3427.0,4798.0,6185.0,14034.0,50016.0,2017-02-01
Костромская область,64129.0,2448.0,3802.0,5002.0,12267.0,40610.0,2017-02-01
Курская область,120537.0,5570.0,8460.0,13481.0,28347.0,64679.0,2017-02-01
Липецкая область,124568.0,4559.0,6775.0,10296.0,24728.0,78210.0,2017-02-01
Орловская область,65200.0,2595.0,3712.0,5378.0,12368.0,41147.0,2017-02-01
Рязанская область,138135.0,4321.0,6377.0,9898.0,25303.0,92236.0,2017-02-01
Смоленская область,79296.0,3479.0,5243.0,6956.0,15366.0,48252.0,2017-02-01
Тамбовская область,116231.0,3416.0,5736.0,9709.0,21896.0,75474.0,2017-02-01
Тверская область,102705.0,4251.0,6373.0,8244.0,18985.0,64852.0,2017-02-01
Тульская область,153594.0,5908.0,9103.0,14415.0,30476.0,93692.0,2017-02-01
Ярославская область,111909.0,3111.0,5233.0,7621.0,16639.0,79305.0,2017-02-01
город Москва,1062700.0,31200.0,41913.0,66058.0,161080.0,762449.0,2017-02-01
Московская область,427330.0,18171.0,25206.0,33307.0,73365.0,277281.0,2017-02-01
Северо-Западный федеральный округ,1309653.0,41246.0,59994.0,79784.0,183333.0,945296.0,2017-02-01
Республика Карелия,65814.0,2234.0,3192.0,4185.0,8750.0,47453.0,2017-02-01
Республика Коми,64766.0,3425.0,5375.0,6420.0,13199.0,36347.0,2017-02-01
Архангельская область,88705.0,3471.0,5173.0,6748.0,13732.0,59581.0,2017-02-01
Ненецкий автономный округ,2937.0,157.0,209.0,282.0,570.0,1719.0,2017-02-01
Вологодская область,104892.0,3330.0,5410.0,7151.0,18426.0,70575.0,2017-02-01
Калининградская область,73015.0,3077.0,4426.0,5959.0,12444.0,47109.0,2017-02-01
город Санкт-Петербург,619847.0,14004.0,18979.0,27058.0,67489.0,492317.0,2017-02-01
Ленинградская область,145656.0,5034.0,7648.0,9919.0,23866.0,99189.0,2017-02-01
Мурманская область,29536.0,1659.0,2282.0,2966.0,4891.0,17738.0,2017-02-01
Новгородская область,64126.0,2356.0,3564.0,4686.0,11269.0,42251.0,2017-02-01
Псковская область,50359.0,2499.0,3736.0,4410.0,8697.0,31017.0,2017-02-01
Северо-Кавказский федеральный округ,863291.0,85681.0,105389.0,152455.0,213535.0,306231.0,2017-02-01
Республика Дагестан,275625.0,36743.0,39483.0,57941.0,72903.0,68555.0,2017-02-01
Республика Ингушетия,49331.0,5643.0,6026.0,12245.0,14685.0,10732.0,2017-02-01
Кабардино-Балкарская Республика,57335.0,4032.0,4679.0,7698.0,14525.0,26401.0,2017-02-01
Карачаево-Черкесская Республика,49612.0,3888.0,4435.0,7866.0,13827.0,19596.0,2017-02-01
Республика Северная Осетия-Алания,67662.0,3509.0,4207.0,7805.0,15037.0,37104.0,2017-02-01
Чеченская Республика,141910.0,21699.0,31757.0,35694.0,32450.0,20310.0,2017-02-01
Ставропольский край,221816.0,10167.0,14802.0,23206.0,50108.0,123533.0,2017-02-01
Южный федеральный округ,1211994.0,60226.0,89298.0,127382.0,252891.0,682197.0,2017-02-01
Республика Адыгея,34383.0,1624.0,2430.0,3822.0,7275.0,19232.0,2017-02-01
Республика Калмыкия,22013.0,2029.0,1918.0,2353.0,5483.0,10230.0,2017-02-01
Республика Крым,123533.0,6268.0,10595.0,15698.0,30952.0,60020.0,2017-02-01
Краснодарский край,422530.0,19560.0,25982.0,37548.0,78682.0,260758.0,2017-02-01
Астраханская область,44836.0,3132.0,3980.0,4738.0,9046.0,23940.0,2017-02-01
Волгоградская область,181267.0,7773.0,11925.0,16614.0,32489.0,112466.0,2017-02-01
Ростовская область,363946.0,18984.0,31017.0,44693.0,85353.0,183899.0,2017-02-01
город Севастополь,19486.0,856.0,1451.0,1916.0,3611.0,11652.0,2017-02-01
Приволжский федеральный округ,2311345.0,99188.0,134635.0,181528.0,417034.0,1478960.0,2017-02-01
Республика Башкортостан,266722.0,12411.0,15770.0,20481.0,45221.0,172839.0,2017-02-01
Республика Марий Эл,65463.0,3081.0,3745.0,4759.0,12291.0,41587.0,2017-02-01
Республика Мордовия,71951.0,2808.0,4009.0,6294.0,15142.0,43698.0,2017-02-01
Республика Татарстан,290855.0,14173.0,17298.0,25589.0,60242.0,173553.0,2017-02-01
Удмуртская Республика,107692.0,5086.0,7909.0,9366.0,20914.0,64417.0,2017-02-01
Чувашская Республика,80482.0,3956.0,5125.0,7538.0,15243.0,48620.0,2017-02-01
Кировская область,129693.0,4309.0,6129.0,7657.0,20259.0,91339.0,2017-02-01
Нижегородская область,303607.0,10782.0,13995.0,18646.0,45471.0,214713.0,2017-02-01
Оренбургская область,202018.0,7932.0,10572.0,14035.0,34534.0,134945.0,2017-02-01
Пензенская область,98427.0,3847.0,5689.0,8000.0,17568.0,63323.0,2017-02-01
Пермский край,216098.0,9275.0,13322.0,15590.0,33825.0,144086.0,2017-02-01
Самарская область,223056.0,9642.0,14408.0,20828.0,45707.0,132471.0,2017-02-01
Саратовская область,139575.0,7020.0,9693.0,13303.0,27157.0,82402.0,2017-02-01
Ульяновская область,115706.0,4866.0,6971.0,9442.0,23460.0,70967.0,2017-02-01
Уральский федеральный округ,739577.0,40325.0,55836.0,63769.0,131761.0,447886.0,2017-02-01
Курганская область,75906.0,3433.0,4894.0,6238.0,13966.0,47375.0,2017-02-01
Свердловская область,279798.0,14500.0,21755.0,24332.0,46016.0,173195.0,2017-02-01
Тюменская область,95778.0,5326.0,7267.0,7716.0,17123.0,58346.0,2017-02-01
Ханты-Мансийский автономный округ,47117.0,4119.0,5375.0,5678.0,12308.0,19637.0,2017-02-01
Ямало-Ненецкий автономный округ,13446.0,1305.0,1323.0,1668.0,3661.0,5489.0,2017-02-01
Челябинская область,227532.0,11642.0,15222.0,18137.0,38687.0,143844.0,2017-02-01
Сибирский федеральный округ,1409156.0,82232.0,116736.0,130134.0,266591.0,813463.0,2017-02-01
Республика Алтай,22903.0,1176.0,1727.0,2045.0,4509.0,13446.0,2017-02-01
Республика Тыва,20346.0,2091.0,2991.0,4330.0,4843.0,6091.0,2017-02-01
Республика Хакасия,28885.0,1785.0,2799.0,2839.0,5473.0,15989.0,2017-02-01
Алтайский край,182549.0,8894.0,13519.0,13862.0,30282.0,115992.0,2017-02-01
Кемеровская область,233748.0,11683.0,17565.0,20830.0,47971.0,135699.0,2017-02-01
Новосибирская область,185899.0,9336.0,14324.0,16263.0,34302.0,111674.0,2017-02-01
Омская область,128709.0,6648.0,9975.0,11293.0,24430.0,76363.0,2017-02-01
Томская область,54824.0,3261.0,4682.0,4943.0,9954.0,31984.0,2017-02-01
Красноярский край,180208.0,11176.0,15521.0,17364.0,35359.0,100788.0,2017-02-01
Иркутская область,214904.0,16037.0,19448.0,21260.0,40053.0,118106.0,2017-02-01
Дальневосточный федеральный округ,361162.0,22390.0,31776.0,38057.0,65276.0,203663.0,2017-02-01
Республика Бурятия,73954.0,4934.0,7136.0,7562.0,15151.0,39171.0,2017-02-01
Забайкальский край,82227.0,5211.0,7049.0,7543.0,14264.0,48160.0,2017-02-01
Хабаровский край,70790.0,4009.0,5960.0,7074.0,11033.0,42714.0,2017-02-01
Амурская область,68808.0,3676.0,5264.0,6238.0,12596.0,41034.0,2017-02-01
Камчатский край,13716.0,917.0,1174.0,1528.0,2460.0,7637.0,2017-02-01
Магаданская область,5080.0,408.0,596.0,673.0,1089.0,2314.0,2017-02-01
Сахалинская область,21814.0,1531.0,2195.0,2439.0,3620.0,12029.0,2017-02-01
Еврейская автономная область,13288.0,875.0,1196.0,1220.0,2112.0,7885.0,2017-02-01
Чукотский автономный округ,1553.0,173.0,228.0,264.0,400.0,488.0,2017-02-01
Республика Саха (Якутия),51456.0,4543.0,5421.0,7039.0,12576.0,21877.0,2017-02-01
Приморский край,114657.0,6258.0,9742.0,11582.0,19390.0,67685.0,2017-02-01
г. Байконур,287.0,26.0,25.0,52.0,72.0,112.0,2017-02-01
Российская Федерация,11600390.0,547858.0,767344.0,1028892.0,2117033.0,7139263.0,2017-03-01
Центральный федеральный округ,3408031.0,117800.0,172715.0,256612.0,592994.0,2267910.0,2017-03-01
Белгородская область,221303.0,6237.0,10383.0,16472.0,37038.0,151173.0,2017-03-01
Брянская область,109929.0,4177.0,6537.0,10170.0,21346.0,67699.0,2017-03-01
Владимирская область,132544.0,4403.0,6784.0,9540.0,23002.0,88815.0,2017-03-01
Воронежская область,220188.0,7673.0,11486.0,17821.0,45248.0,137960.0,2017-03-01
Ивановская область,82291.0,3133.0,4667.0,6320.0,13361.0,54810.0,2017-03-01
Калужская область,78342.0,3407.0,4807.0,6156.0,14014.0,49958.0,2017-03-01
Костромская область,63858.0,2438.0,3780.0,4988.0,12165.0,40487.0,2017-03-01
Курская область,120382.0,5546.0,8463.0,13468.0,28289.0,64616.0,2017-03-01
Липецкая область,124341.0,4533.0,6793.0,10277.0,24577.0,78161.0,2017-03-01
Орловская область,64940.0,2597.0,3705.0,5380.0,12286.0,40972.0,2017-03-01
Рязанская область,137901.0,4318.0,6371.0,9843.0,25160.0,92209.0,2017-03-01
Смоленская область,79054.0,3455.0,5237.0,6938.0,15293.0,48131.0,2017-03-01
Тамбовская область,115875.0,3383.0,5752.0,9625.0,21798.0,75317.0,2017-03-01
Тверская область,102379.0,4226.0,6343.0,8239.0,18891.0,64680.0,2017-03-01
Тульская область,153309.0,5881.0,9095.0,14402.0,30294.0,93637.0,2017-03-01
Ярославская область,111606.0,3094.0,5231.0,7601.0,16557.0,79123.0,2017-03-01
город Москва,1063165.0,31269.0,42134.0,66261.0,160916.0,762585.0,2017-03-01
Московская область,426624.0,18030.0,25147.0,33111.0,72759.0,277577.0,2017-03-01
Северо-Западный федеральный округ,1306211.0,41031.0,60108.0,79596.0,182248.0,943228.0,2017-03-01
Республика Карелия,65588.0,2223.0,3202.0,4174.0,8687.0,47302.0,2017-03-01
Республика Коми,64565.0,3400.0,5393.0,6378.0,13114.0,36280.0,2017-03-01
Архангельская область,88600.0,3459.0,5195.0,6748.0,13654.0,59544.0,2017-03-01
Ненецкий автономный округ,2927.0,154.0,209.0,279.0,569.0,1716.0,2017-03-01
Вологодская область,104614.0,3304.0,5406.0,7121.0,18381.0,70402.0,2017-03-01
Калининградская область,72866.0,3060.0,4456.0,5939.0,12375.0,47036.0,2017-03-01
город Санкт-Петербург,618125.0,13946.0,19001.0,26968.0,66984.0,491226.0,2017-03-01
Ленинградская область,145304.0,4996.0,7670.0,9941.0,23751.0,98946.0,2017-03-01
Мурманская область,29477.0,1646.0,2290.0,2944.0,4883.0,17714.0,2017-03-01
Новгородская область,63965.0,2339.0,3567.0,4680.0,11202.0,42177.0,2017-03-01
Псковская область,50180.0,2504.0,3719.0,4424.0,8648.0,30885.0,2017-03-01
Северо-Кавказский федеральный округ,864198.0,85907.0,105759.0,152301.0,213513.0,306718.0,2017-03-01
Республика Дагестан,276655.0,36897.0,39794.0,58017.0,73069.0,68878.0,2017-03-01
Республика Ингушетия,49512.0,5684.0,6049.0,12245.0,14714.0,10820.0,2017-03-01
Кабардино-Балкарская Республика,57376.0,4038.0,4665.0,7685.0,14547.0,26441.0,2017-03-01
Карачаево-Черкесская Республика,49544.0,3900.0,4420.0,7826.0,13765.0,19633.0,2017-03-01
Республика Северная Осетия-Алания,67566.0,3509.0,4205.0,7756.0,15020.0,37076.0,2017-03-01
Чеченская Республика,142237.0,21744.0,31813.0,35695.0,32500.0,20485.0,2017-03-01
Ставропольский край,221308.0,10135.0,14813.0,23077.0,49898.0,123385.0,2017-03-01
Южный федеральный округ,1212225.0,60205.0,89680.0,127476.0,252392.0,682472.0,2017-03-01
Республика Адыгея,34337.0,1624.0,2433.0,3811.0,7250.0,19219.0,2017-03-01
Республика Калмыкия,21959.0,2022.0,1922.0,2323.0,5462.0,10230.0,2017-03-01
Республика Крым,123617.0,6247.0,10586.0,15679.0,30873.0,60232.0,2017-03-01
Краснодарский край,422573.0,19520.0,26035.0,37523.0,78543.0,260952.0,2017-03-01
Астраханская область,44664.0,3117.0,3975.0,4718.0,8988.0,23866.0,2017-03-01
Волгоградская область,180807.0,7762.0,11937.0,16570.0,32406.0,112132.0,2017-03-01
Ростовская область,364731.0,19072.0,31341.0,44920.0,85276.0,184122.0,2017-03-01
город Севастополь,19537.0,841.0,1451.0,1932.0,3594.0,11719.0,2017-03-01
Приволжский федеральный округ,2305186.0,98655.0,134688.0,181018.0,414895.0,1475930.0,2017-03-01
Республика Башкортостан,265779.0,12351.0,15796.0,20358.0,45082.0,172192.0,2017-03-01
Республика Марий Эл,65239.0,3056.0,3747.0,4736.0,12165.0,41535.0,2017-03-01
Республика Мордовия,71836.0,2801.0,4005.0,6265.0,15075.0,43690.0,2017-03-01
Республика Татарстан,290284.0,14105.0,17348.0,25490.0,59974.0,173367.0,2017-03-01
Удмуртская Республика,107568.0,5062.0,7898.0,9355.0,20877.0,64376.0,2017-03-01
Чувашская Республика,80565.0,3952.0,5118.0,7544.0,15277.0,48674.0,2017-03-01
Кировская область,129290.0,4297.0,6124.0,7657.0,20073.0,91139.0,2017-03-01
Нижегородская область,302593.0,10736.0,13972.0,18614.0,45220.0,214051.0,2017-03-01
Оренбургская область,201123.0,7869.0,10572.0,13923.0,34194.0,134565.0,2017-03-01
Пензенская область,98356.0,3830.0,5704.0,8018.0,17560.0,63244.0,2017-03-01
Пермский край,215634.0,9215.0,13317.0,15577.0,33600.0,143925.0,2017-03-01
Самарская область,222514.0,9559.0,14434.0,20806.0,45453.0,132262.0,2017-03-01
Саратовская область,139037.0,6982.0,9692.0,13273.0,26992.0,82098.0,2017-03-01
Ульяновская область,115368.0,4840.0,6961.0,9402.0,23353.0,70812.0,2017-03-01
Уральский федеральный округ,738417.0,40204.0,55872.0,63779.0,131042.0,447520.0,2017-03-01
Курганская область,75919.0,3427.0,4904.0,6251.0,13898.0,47439.0,2017-03-01
Свердловская область,279349.0,14448.0,21769.0,24354.0,45847.0,172931.0,2017-03-01
Тюменская область,95564.0,5312.0,7262.0,7713.0,17019.0,58258.0,2017-03-01
Ханты-Мансийский автономный округ,47134.0,4101.0,5387.0,5701.0,12212.0,19733.0,2017-03-01
Ямало-Ненецкий автономный округ,13451.0,1298.0,1325.0,1682.0,3659.0,5487.0,2017-03-01
Челябинская область,227000.0,11618.0,15225.0,18078.0,38407.0,143672.0,2017-03-01
Сибирский федеральный округ,1405644.0,81761.0,116746.0,130032.0,264920.0,812185.0,2017-03-01
Республика Алтай,22834.0,1178.0,1719.0,2053.0,4465.0,13419.0,2017-03-01
Республика Тыва,20326.0,2082.0,2973.0,4312.0,4853.0,6106.0,2017-03-01
Республика Хакасия,28809.0,1777.0,2797.0,2827.0,5443.0,15965.0,2017-03-01
Алтайский край,182016.0,8831.0,13537.0,13865.0,30073.0,115710.0,2017-03-01
Кемеровская область,232796.0,11596.0,17517.0,20779.0,47502.0,135402.0,2017-03-01
Новосибирская область,185600.0,9306.0,14344.0,16240.0,34091.0,111619.0,2017-03-01
Омская область,128343.0,6612.0,9981.0,11295.0,24301.0,76154.0,2017-03-01
Томская область,54587.0,3223.0,4679.0,4917.0,9883.0,31885.0,2017-03-01
Красноярский край,180084.0,11132.0,15541.0,17427.0,35228.0,100756.0,2017-03-01
Иркутская область,214372.0,15955.0,19443.0,21231.0,39830.0,117913.0,2017-03-01
Дальневосточный федеральный округ,360194.0,22269.0,31751.0,38028.0,64958.0,203188.0,2017-03-01
Республика Бурятия,73938.0,4880.0,7164.0,7543.0,15096.0,39255.0,2017-03-01
Забайкальский край,81939.0,5189.0,7051.0,7543.0,14155.0,48001.0,2017-03-01
Хабаровский край,70558.0,3985.0,5932.0,7061.0,11011.0,42569.0,2017-03-01
Амурская область,68608.0,3643.0,5295.0,6227.0,12523.0,40920.0,2017-03-01
Камчатский край,13731.0,922.0,1188.0,1547.0,2457.0,7617.0,2017-03-01
Магаданская область,5070.0,408.0,600.0,672.0,1083.0,2307.0,2017-03-01
Сахалинская область,21781.0,1525.0,2195.0,2448.0,3598.0,12015.0,2017-03-01
Еврейская автономная область,13224.0,866.0,1199.0,1213.0,2091.0,7855.0,2017-03-01
Чукотский автономный округ,1553.0,169.0,221.0,272.0,402.0,489.0,2017-03-01
Республика Саха (Якутия),51412.0,4525.0,5402.0,6998.0,12546.0,21941.0,2017-03-01
Приморский край,114257.0,6226.0,9719.0,11590.0,19247.0,67475.0,2017-03-01
г. Байконур,284.0,26.0,25.0,50.0,71.0,112.0,2017-03-01
Российская Федерация,11586731.0,546066.0,768801.0,1028121.0,2108710.0,7135033.0,2017-04-01
Центральный федеральный округ,3401485.0,117281.0,172636.0,255782.0,589975.0,2265811.0,2017-04-01
Белгородская область,220693.0,6205.0,10356.0,16406.0,36863.0,150863.0,2017-04-01
Брянская область,109886.0,4158.0,6544.0,10144.0,21325.0,67715.0,2017-04-01
Владимирская область,132224.0,4375.0,6793.0,9527.0,22858.0,88671.0,2017-04-01
Воронежская область,219884.0,7622.0,11475.0,17759.0,45036.0,137992.0,2017-04-01
Ивановская область,82257.0,3111.0,4676.0,6315.0,13350.0,54805.0,2017-04-01
Калужская область,78262.0,3381.0,4802.0,6140.0,13973.0,49966.0,2017-04-01
Костромская область,63690.0,2427.0,3771.0,4979.0,12083.0,40430.0,2017-04-01
Курская область,120435.0,5535.0,8484.0,13457.0,28230.0,64729.0,2017-04-01
Липецкая область,123992.0,4504.0,6786.0,10243.0,24461.0,77998.0,2017-04-01
Орловская область,64775.0,2587.0,3695.0,5341.0,12205.0,40947.0,2017-04-01
Рязанская область,137609.0,4298.0,6377.0,9799.0,24986.0,92149.0,2017-04-01
Смоленская область,78921.0,3439.0,5245.0,6921.0,15210.0,48106.0,2017-04-01
Тамбовская область,115603.0,3388.0,5746.0,9576.0,21707.0,75186.0,2017-04-01
Тверская область,102144.0,4187.0,6355.0,8208.0,18786.0,64608.0,2017-04-01
Тульская область,153194.0,5846.0,9101.0,14381.0,30156.0,93710.0,2017-04-01
Ярославская область,111346.0,3079.0,5222.0,7605.0,16487.0,78953.0,2017-04-01
город Москва,1061129.0,31175.0,42140.0,65997.0,160061.0,761756.0,2017-04-01
Московская область,425441.0,17964.0,25068.0,32984.0,72198.0,277227.0,2017-04-01
Северо-Западный федеральный округ,1303850.0,40844.0,60212.0,79576.0,181265.0,941953.0,2017-04-01
Республика Карелия,65448.0,2207.0,3199.0,4200.0,8641.0,47201.0,2017-04-01
Республика Коми,64546.0,3390.0,5383.0,6385.0,13070.0,36318.0,2017-04-01
